,Vessel Name,Vessel,Country,Line Item,Amount,Business Date Local,Line Order
0,Eesentia,LDN-205-02,GB,Rent,0.0,2024-04-01,L1-10-02
1,Eesentia,LDN-205-02,GB,Marketing Expense,0.0,2024-04-01,
2,Eesentia,LDN-205-02,GB,Insurance Expense,0.8421777699091663,2024-04-01,L1-12-02-06
3,Eesentia,LDN-205-02,GB,Repairs & Maintenance,0.0,2024-04-01,L1-12-02-08
4,Eesentia,LDN-205-02,GB,Electricity,42.10888849545832,2024-04-01,L1-12-02-01
5,Eesentia,LDN-205-02,GB,Grey Water,0.0,2024-04-01,L1-12-02-05
6,Eesentia,LDN-205-02,GB,Fresh Water,0.0,2024-04-01,L1-12-02-03
7,Eesentia,LDN-205-02,GB,Internet Services,4.210888849545832,2024-04-01,L1-12-02-07
8,Eesentia,LDN-205-02,GB,"Fuel, Natural Gas & Propane",23.159888672502074,2024-04-01,L1-12-02-04
9,Eesentia,LDN-205-02,GB,Business Rate,0.0,2024-04-01,
10,Eesentia,LDN-205-02,GB,IMS Software,0.0,2024-04-01,
11,Eesentia,LDN-205-02,GB,Waste Management,15.580288743319578,2024-04-01,L2-01-03-03
12,Eesentia,LDN-205-02,GB,Pest Control,4.126671072554915,2024-04-01,L2-01-03-01
13,Eesentia,LDN-205-02,GB,Portable Toilets,0.0,2024-04-01,L2-01-03-02
14,Eesentia,LDN-205-02,GB,Security Expenses,0.0,2024-04-01,
15,Eesentia,LDN-205-02,GB,Fire/Safety,10.73776656634187,2024-04-01,L1-12-02-02
16,Eesentia,LDN-205-02,GB,Other,0.0,2024-04-01,
17,Eleanor,MIA-009-07,US,Rent,82.1917808219178,2024-04-01,L1-10-02
18,Eleanor,MIA-009-07,US,Marketing Expense,0.0,2024-04-01,
19,Eleanor,MIA-009-07,US,Insurance Expense,8.219178082191782,2024-04-01,L1-12-02-06
20,Eleanor,MIA-009-07,US,Repairs & Maintenance,0.0,2024-04-01,L1-12-02-08
21,Eleanor,MIA-009-07,US,Electricity,20.21917808219178,2024-04-01,L1-12-02-01
22,Eleanor,MIA-009-07,US,Grey Water,18.904109589041095,2024-04-01,L1-12-02-05
23,Eleanor,MIA-009-07,US,Fresh Water,3.287671232876712,2024-04-01,L1-12-02-03
24,Eleanor,MIA-009-07,US,Internet Services,2.958904109589041,2024-04-01,L1-12-02-07
25,Eleanor,MIA-009-07,US,"Fuel, Natural Gas & Propane",26.301369863013697,2024-04-01,L1-12-02-04
26,Eleanor,MIA-009-07,US,Business Rate,0.0,2024-04-01,
27,Eleanor,MIA-009-07,US,IMS Software,0.0,2024-04-01,
28,Eleanor,MIA-009-07,US,Waste Management,6.575342465753424,2024-04-01,L2-01-03-03
29,Eleanor,MIA-009-07,US,Pest Control,4.931506849315069,2024-04-01,L2-01-03-01
30,Eleanor,MIA-009-07,US,Portable Toilets,8.219178082191782,2024-04-01,L2-01-03-02
31,Eleanor,MIA-009-07,US,Security Expenses,0.0,2024-04-01,
32,Eleanor,MIA-009-07,US,Fire/Safety,3.1232876712328768,2024-04-01,L1-12-02-02
33,Eleanor,MIA-009-07,US,Other,0.0,2024-04-01,
34,Essence,MIA-037-04,US,Rent,82.1917808219178,2024-04-01,L1-10-02
35,Essence,MIA-037-04,US,Marketing Expense,0.0,2024-04-01,
36,Essence,MIA-037-04,US,Insurance Expense,8.219178082191782,2024-04-01,L1-12-02-06
37,Essence,MIA-037-04,US,Repairs & Maintenance,0.0,2024-04-01,L1-12-02-08
38,Essence,MIA-037-04,US,Electricity,20.21917808219178,2024-04-01,L1-12-02-01
39,Essence,MIA-037-04,US,Grey Water,18.904109589041095,2024-04-01,L1-12-02-05
40,Essence,MIA-037-04,US,Fresh Water,3.287671232876712,2024-04-01,L1-12-02-03
41,Essence,MIA-037-04,US,Internet Services,2.958904109589041,2024-04-01,L1-12-02-07
42,Essence,MIA-037-04,US,"Fuel, Natural Gas & Propane",26.301369863013697,2024-04-01,L1-12-02-04
43,Essence,MIA-037-04,US,Business Rate,0.0,2024-04-01,
44,Essence,MIA-037-04,US,IMS Software,0.0,2024-04-01,
45,Essence,MIA-037-04,US,Waste Management,6.575342465753424,2024-04-01,L2-01-03-03
